Symbol,Name
BTC-USD,Bitcoin USD
ETH-USD,Ethereum
BNB-USD,BinanceCoin
USDT-USD,Tether
ADA-USD,Cardano
SOL1-USD,Solana
XRP-USD,XRP
DOT1-USD,Polkadot
SHIB-USD,Shiba Inu
HEX-USD,HEX
DOGE-USD,Dogecoin
USDC-USD,USDCoin
LUNA1-USD,Terra
UNI3-USD,Uniswap
LINK-USD,Chainlink
AVAX-USD,Avalanch
LTC-USD,Litecoin
MATIC-USD,MaticNetwork
ALGO-USD,Algorand
BCH-USD,BitcoinCash
AXS-USD,AxieInfinity
XLM-USD,Stellar
VET-USD,Vechain
ATOM1-USD,Cosmos
THETA-USD,THETA
ICP1-USD,InternetComputer
TRX-USD,TRON
FTT1-USD,FTXToken
FTM-USD,Fantom
FIL-USD,FilecoinFutures
ETC-USD,EhereumClassic
DAI1-USD,Dai
HBAR-USD,HederaHashgraph
XTZ-USD,Tezos
CRO-USD,CryptocomCoin
EGLD-USD,Elrond
XMR-USD,Monero
MANA-USD,Decentraland
GRT2-USD,TheGraph
FLOW1-USD,FlowDapperlabs
EOS-USD,EOS
CAKE-USD,PanCakeSwap
AAVE-USD,Ave
MIOTA-USD,IOTA
RUNE-USD,ThorChain
QNT-USD,Quant
ONE2-USD,Harmony
KSM-USD,Kusama
HNT1-USD,Helium
BSV-USD,BitcoinSV
NEO-USD,NEO
WAVES-USD,Waves
BTT1-USD,BitTorrent
STX1-USD,Stacks
CHZ-USD,Chiliz
MKR-USD,Maker
ENJ-USD,EnjinCoin
CELO-USD,Celo
TFUEL-USD,ThetaFuel
ZEC-USD,Zcash
CRV-USD,CurveDaoToken
AMP1-USD,Amp
COMP-USD,Compound
DASH-USD,Dash
OMG-USD,OmiseGo
HOT1-USD,Holo
BAT-USD,BasicAttentionToken
AR-USD,Arweave
XEM-USD,NEM
DCR-USD,Decred
CTC1-USD,Creditcoin
SAND-USD,TheSandBox
ICX-USD,ICON
SUSHI-USD,Sushi
QTUM-USD,Qtum
YFI-USD,yearnfinance
ZIL-USD,Zilliqa
TUSD-USD,TrueUSD
SNX-USD,SynthetixNetworkToken
RVN-USD,RavenCoin
BTG-USD,BitcoinGold
XDC-USD,XinFinNetwork
CEL-USD,Celsius
OMI-USD,ECOMI
BNT-USD,Bancor
SRM-USD,Serum
CCXX-USD,CounosX
KDA-USD,Kadena
ZRX-USD,Ox
SC-USD,Siacoin
ZEN-USD,Horizen
IOST-USD,IOST
1INCH-USD,1inch
ANKR-USD,Ankr
ONT-USD,Ontology
VGX-USD,VoyagerToken
RAY-USD,Raydium
NANO-USD,Nano
SKL-USD,SkaleNetwork
CELR-USD,CelerNetwork
