Symbol,Future
ES%3DF, Mini S&P
YM%3DF, Mini Downjones
NQ%3DF, Nasdaq100
RTY%3DF, E-mini Russell
ZB%3DF, US Treasury
ZN%3DF, 10 Yrs TNote
ZF%3DF, 5 yr US Treasury note
ZT%3DF, 2 yr US Treasury note
GC%3DF, GOLD
MGC%3DF, Micro Gold
SI%3DF, Silver
SIL%3DF, Micro Silver
PL%3DF, Platinum
HG%3DF, Copper
PA%3DF, Palladium
CL%3DF, Crude Oil
HO%3DF, Heating Oil
NG%3DF, Natural Gas
RB%3DF, RBOB Gasoline
BZ%3DF, Brent Crude
B0%3DF, Propane
ZC%3DF, Corn Futures
ZO%3DF, Oat Futures
KE%3DF, Wheat
ZR%3DF, Rough Rice
ZM%3DF, Soyaben Meal
ZL%3DF, Soyabean Oil
ZS%3DF, Soyabean Futures
GF%3DF, Feeder Cattle Fodder
HE%3DF, Lean Hogs
LE%3DF, Live Cattle
CC%3DF, Cocoa
KC%3DF, Coffee
CT%3DF, Cotton
LBS%3DF, Random Lenght Lumber
OJ%3DF, Orange Juice
SB%3DF, Sugar
