Symbol,Name,Sector,id
MMM,3M,Industrials,0
AOS,A. O. Smith,Industrials,0
ABT,Abbott Laboratories,Health Care,0
ABBV,AbbVie,Health Care,0
ABMD,Abiomed,Health Care,0
ACN,Accenture,Information Technology,0
ATVI,Activision Blizzard,Communication Services,0
ADM,ADM,Consumer Staples,0
ADBE,Adobe,Information Technology,0
AAP,Advance Auto Parts,Consumer Discretionary,0
AMD,Advanced Micro Devices,Information Technology,0
AES,AES Corp,Utilities,0
AFL,Aflac,Financials,0
A,Agilent Technologies,Health Care,0
APD,Air Products & Chemicals,Materials,0
AKAM,Akamai Technologies,Information Technology,0
ALK,Alaska Air Group,Industrials,0
ALB,Albemarle Corporation,Materials,0
ARE,Alexandria Real Estate Equities,Real Estate,0
ALGN,Align Technology,Health Care,0
ALLE,Allegion,Industrials,0
LNT,Alliant Energy,Utilities,0
ALL,Allstate Corp,Financials,0
GOOGL,Alphabet (Class A),Communication Services,0
GOOG,Alphabet (Class C),Communication Services,0
MO,Altria Group,Consumer Staples,0
AMZN,Amazon,Consumer Discretionary,0
AMCR,Amcor,Materials,0
AEE,Ameren Corp,Utilities,0
AAL,American Airlines Group,Industrials,0
AEP,American Electric Power,Utilities,0
AXP,American Express,Financials,0
AIG,American International Group,Financials,0
AMT,American Tower,Real Estate,0
AWK,American Water Works,Utilities,0
AMP,Ameriprise Financial,Financials,0
ABC,AmerisourceBergen,Health Care,0
AME,Ametek,Industrials,0
AMGN,Amgen,Health Care,0
APH,Amphenol,Information Technology,0
ADI,Analog Devices,Information Technology,0
ANSS,Ansys,Information Technology,0
ANTM,Anthem,Health Care,0
AON,Aon,Financials,0
APA,APA Corporation,Energy,0
AAPL,Apple,Information Technology,0
AMAT,Applied Materials,Information Technology,0
APTV,Aptiv,Consumer Discretionary,0
ANET,Arista Networks,Information Technology,0
AJG,Arthur J. Gallagher & Co.,Financials,0
AIZ,Assurant,Financials,0
T,AT&T,Communication Services,0
ATO,Atmos Energy,Utilities,0
ADSK,Autodesk,Information Technology,0
ADP,Automatic Data Processing,Information Technology,0
AZO,AutoZone,Consumer Discretionary,0
AVB,AvalonBay Communities,Real Estate,0
AVY,Avery Dennison,Materials,0
BKR,Baker Hughes,Energy,0
BLL,Ball Corp,Materials,0
BAC,Bank of America,Financials,0
BBWI,Bath & Body Works Inc.,Consumer Discretionary,0
BAX,Baxter International,Health Care,0
BDX,Becton Dickinson,Health Care,0
BRK.B,Berkshire Hathaway,Financials,0
BBY,Best Buy,Consumer Discretionary,0
BIO,Bio-Rad Laboratories,Health Care,0
TECH,Bio-Techne,Health Care,0
BIIB,Biogen,Health Care,0
BLK,BlackRock,Financials,0
BK,BNY Mellon,Financials,0
BA,Boeing,Industrials,0
BKNG,Booking Holdings,Consumer Discretionary,0
BWA,BorgWarner,Consumer Discretionary,0
BXP,Boston Properties,Real Estate,0
BSX,Boston Scientific,Health Care,0
BMY,Bristol Myers Squibb,Health Care,0
AVGO,Broadcom,Information Technology,0
BR,Broadridge Financial Solutions,Information Technology,0
BRO,Brown & Brown,Financials,0
BF.B,Brown–Forman,Consumer Staples,0
CHRW,C. H. Robinson,Industrials,0
CDNS,Cadence Design Systems,Information Technology,0
CZR,Caesars Entertainment,Consumer Discretionary,0
CPB,Campbell Soup,Consumer Staples,0
COF,Capital One Financial,Financials,0
CAH,Cardinal Health,Health Care,0
KMX,CarMax,Consumer Discretionary,0
CCL,Carnival Corporation,Consumer Discretionary,0
CARR,Carrier Global,Industrials,0
CTLT,Catalent,Health Care,0
CAT,Caterpillar,Industrials,0
CBOE,Cboe Global Markets,Financials,0
CBRE,CBRE,Real Estate,0
CDW,CDW,Information Technology,0
CE,Celanese,Materials,0
CNC,Centene Corporation,Health Care,0
CNP,CenterPoint Energy,Utilities,0
CDAY,Ceridian,Information Technology,0
CERN,Cerner,Health Care,0
CF,CF Industries,Materials,0
CRL,Charles River Laboratories,Health Care,0
SCHW,Charles Schwab Corporation,Financials,0
CHTR,Charter Communications,Communication Services,0
CVX,Chevron Corporation,Energy,0
CMG,Chipotle Mexican Grill,Consumer Discretionary,0
CB,Chubb,Financials,0
CHD,Church & Dwight,Consumer Staples,0
CI,Cigna,Health Care,0
CINF,Cincinnati Financial,Financials,0
CTAS,Cintas Corporation,Industrials,0
CSCO,Cisco Systems,Information Technology,0
C,Citigroup,Financials,0
CFG,Citizens Financial Group,Financials,0
CTXS,Citrix Systems,Information Technology,0
CLX,Clorox,Consumer Staples,0
CME,CME Group,Financials,0
CMS,CMS Energy,Utilities,0
KO,Coca-Cola Company,Consumer Staples,0
CTSH,Cognizant Technology Solutions,Information Technology,0
CL,Colgate-Palmolive,Consumer Staples,0
CMCSA,Comcast,Communication Services,0
CMA,Comerica,Financials,0
CAG,Conagra Brands,Consumer Staples,0
COP,ConocoPhillips,Energy,0
ED,Consolidated Edison,Utilities,0
STZ,Constellation Brands,Consumer Staples,0
CPRT,Copart,Industrials,0
GLW,Corning,Information Technology,0
CTVA,Corteva,Materials,0
COST,Costco,Consumer Staples,0
CTRA,Coterra,Energy,0
CCI,Crown Castle,Real Estate,0
CSX,CSX,Industrials,0
CMI,Cummins,Industrials,0
CVS,CVS Health,Health Care,0
DHI,D. R. Horton,Consumer Discretionary,0
DHR,Danaher Corporation,Health Care,0
DRI,Darden Restaurants,Consumer Discretionary,0
DVA,DaVita,Health Care,0
DE,Deere & Co.,Industrials,0
DAL,Delta Air Lines,Industrials,0
XRAY,Dentsply Sirona,Health Care,0
DVN,Devon Energy,Energy,0
DXCM,DexCom,Health Care,0
FANG,Diamondback Energy,Energy,0
DLR,Digital Realty Trust,Real Estate,0
DFS,Discover Financial Services,Financials,0
DISCA,Discovery (Series A),Communication Services,0
DISCK,Discovery (Series C),Communication Services,0
DISH,Dish Network,Communication Services,0
DG,Dollar General,Consumer Discretionary,0
DLTR,Dollar Tree,Consumer Discretionary,0
D,Dominion Energy,Utilities,0
DPZ,Domino's Pizza,Consumer Discretionary,0
DOV,Dover Corporation,Industrials,0
DOW,Dow,Materials,0
DTE,DTE Energy,Utilities,0
DUK,Duke Energy,Utilities,0
DRE,Duke Realty Corp,Real Estate,0
DD,DuPont,Materials,0
DXC,DXC Technology,Information Technology,0
EMN,Eastman Chemical,Materials,0
ETN,Eaton Corporation,Industrials,0
EBAY,eBay,Consumer Discretionary,0
ECL,Ecolab,Materials,0
EIX,Edison International,Utilities,0
EW,Edwards Lifesciences,Health Care,0
EA,Electronic Arts,Communication Services,0
LLY,Eli Lilly & Co,Health Care,0
EMR,Emerson Electric Company,Industrials,0
ENPH,Enphase Energy,Information Technology,0
ETR,Entergy,Utilities,0
EOG,EOG Resources,Energy,0
EFX,Equifax,Industrials,0
EQIX,Equinix,Real Estate,0
EQR,Equity Residential,Real Estate,0
ESS,Essex Property Trust,Real Estate,0
EL,Estée Lauder Companies,Consumer Staples,0
ETSY,Etsy,Consumer Discretionary,0
RE,Everest Re,Financials,0
EVRG,Evergy,Utilities,0
ES,Eversource Energy,Utilities,0
EXC,Exelon,Utilities,0
EXPE,Expedia Group,Consumer Discretionary,0
EXPD,Expeditors,Industrials,0
EXR,Extra Space Storage,Real Estate,0
XOM,ExxonMobil,Energy,0
FFIV,F5 Networks,Information Technology,0
FB,Facebook,Communication Services,0
FAST,Fastenal,Industrials,0
FRT,Federal Realty Investment Trust,Real Estate,0
FDX,FedEx,Industrials,0
FIS,Fidelity National Information Services,Information Technology,0
FITB,Fifth Third Bancorp,Financials,0
FRC,First Republic Bank,Financials,0
FE,FirstEnergy,Utilities,0
FISV,Fiserv,Information Technology,0
FLT,Fleetcor,Information Technology,0
FMC,FMC Corporation,Materials,0
F,Ford,Consumer Discretionary,0
FTNT,Fortinet,Information Technology,0
FTV,Fortive,Industrials,0
FBHS,Fortune Brands Home & Security,Industrials,0
FOXA,Fox Corporation (Class A),Communication Services,0
FOX,Fox Corporation (Class B),Communication Services,0
BEN,Franklin Resources,Financials,0
FCX,Freeport-McMoRan,Materials,0
GPS,Gap,Consumer Discretionary,0
GRMN,Garmin,Consumer Discretionary,0
IT,Gartner,Information Technology,0
GNRC,Generac Holdings,Industrials,0
GD,General Dynamics,Industrials,0
GE,General Electric,Industrials,0
GIS,General Mills,Consumer Staples,0
GM,General Motors,Consumer Discretionary,0
GPC,Genuine Parts,Consumer Discretionary,0
GILD,Gilead Sciences,Health Care,0
GPN,Global Payments,Information Technology,0
GL,Globe Life,Financials,0
GS,Goldman Sachs,Financials,0
HAL,Halliburton,Energy,0
HBI,Hanesbrands,Consumer Discretionary,0
HAS,Hasbro,Consumer Discretionary,0
HCA,HCA Healthcare,Health Care,0
PEAK,Healthpeak Properties,Real Estate,0
HSIC,Henry Schein,Health Care,0
HES,Hess Corporation,Energy,0
HPE,Hewlett Packard Enterprise,Information Technology,0
HLT,Hilton Worldwide,Consumer Discretionary,0
HOLX,Hologic,Health Care,0
HD,Home Depot,Consumer Discretionary,0
HON,Honeywell,Industrials,0
